
Cell Cytoplasm Intensity Mean Ch=3 Img=1
 ==================== 
Cell Cytoplasm Intensity Mean,Unit,Category,Channel,Image,Time,ID,
83.690,,Cell,3,Image 1,1,0,
97.298,,Cell,3,Image 1,1,1,
143.794,,Cell,3,Image 1,1,2,
199.845,,Cell,3,Image 1,1,3,
124.817,,Cell,3,Image 1,1,4,
665.510,,Cell,3,Image 1,1,5,
181.304,,Cell,3,Image 1,1,6,
390.347,,Cell,3,Image 1,1,7,
1068.003,,Cell,3,Image 1,1,8,
147.659,,Cell,3,Image 1,1,9,
88.907,,Cell,3,Image 1,1,10,
101.606,,Cell,3,Image 1,1,11,
717.011,,Cell,3,Image 1,1,12,
88.949,,Cell,3,Image 1,1,13,
124.830,,Cell,3,Image 1,1,14,
137.196,,Cell,3,Image 1,1,15,
160.230,,Cell,3,Image 1,1,16,
100.188,,Cell,3,Image 1,1,17,
217.294,,Cell,3,Image 1,1,18,
147.742,,Cell,3,Image 1,1,19,
139.940,,Cell,3,Image 1,1,20,
111.083,,Cell,3,Image 1,1,21,
153.707,,Cell,3,Image 1,1,22,
175.620,,Cell,3,Image 1,1,23,
146.482,,Cell,3,Image 1,1,24,
240.659,,Cell,3,Image 1,1,25,
116.408,,Cell,3,Image 1,1,26,
157.677,,Cell,3,Image 1,1,27,
137.234,,Cell,3,Image 1,1,28,
146.732,,Cell,3,Image 1,1,29,
356.911,,Cell,3,Image 1,1,30,
297.993,,Cell,3,Image 1,1,31,
517.647,,Cell,3,Image 1,1,32,
127.808,,Cell,3,Image 1,1,33,
117.308,,Cell,3,Image 1,1,34,
157.169,,Cell,3,Image 1,1,35,
582.987,,Cell,3,Image 1,1,36,
163.685,,Cell,3,Image 1,1,37,
93.936,,Cell,3,Image 1,1,38,
409.527,,Cell,3,Image 1,1,39,
134.230,,Cell,3,Image 1,1,40,
166.562,,Cell,3,Image 1,1,41,
101.205,,Cell,3,Image 1,1,42,
101.618,,Cell,3,Image 1,1,43,
120.660,,Cell,3,Image 1,1,44,
89.875,,Cell,3,Image 1,1,45,
98.275,,Cell,3,Image 1,1,46,
126.537,,Cell,3,Image 1,1,47,
89.905,,Cell,3,Image 1,1,48,
107.646,,Cell,3,Image 1,1,49,
94.949,,Cell,3,Image 1,1,50,
60.740,,Cell,3,Image 1,1,51,
124.976,,Cell,3,Image 1,1,52,
164.707,,Cell,3,Image 1,1,53,
229.222,,Cell,3,Image 1,1,54,
149.434,,Cell,3,Image 1,1,55,
96.570,,Cell,3,Image 1,1,56,
431.570,,Cell,3,Image 1,1,57,
103.837,,Cell,3,Image 1,1,58,
108.329,,Cell,3,Image 1,1,59,
110.390,,Cell,3,Image 1,1,60,
144.891,,Cell,3,Image 1,1,61,
114.939,,Cell,3,Image 1,1,62,
118.725,,Cell,3,Image 1,1,63,
362.949,,Cell,3,Image 1,1,64,
667.377,,Cell,3,Image 1,1,65,
66.466,,Cell,3,Image 1,1,66,
141.966,,Cell,3,Image 1,1,67,
353.267,,Cell,3,Image 1,1,68,
202.774,,Cell,3,Image 1,1,69,
78.692,,Cell,3,Image 1,1,70,
134.321,,Cell,3,Image 1,1,71,
130.761,,Cell,3,Image 1,1,72,
291.896,,Cell,3,Image 1,1,73,
154.586,,Cell,3,Image 1,1,74,
138.555,,Cell,3,Image 1,1,75,
131.660,,Cell,3,Image 1,1,76,
72.251,,Cell,3,Image 1,1,77,
92.948,,Cell,3,Image 1,1,78,
186.199,,Cell,3,Image 1,1,79,
138.320,,Cell,3,Image 1,1,80,
158.473,,Cell,3,Image 1,1,81,
72.928,,Cell,3,Image 1,1,82,
151.217,,Cell,3,Image 1,1,83,
114.170,,Cell,3,Image 1,1,84,
112.980,,Cell,3,Image 1,1,85,
114.240,,Cell,3,Image 1,1,86,
94.383,,Cell,3,Image 1,1,87,
94.476,,Cell,3,Image 1,1,88,
66.068,,Cell,3,Image 1,1,89,
153.407,,Cell,3,Image 1,1,90,
165.642,,Cell,3,Image 1,1,91,
172.567,,Cell,3,Image 1,1,92,
119.444,,Cell,3,Image 1,1,93,
579.137,,Cell,3,Image 1,1,94,
252.138,,Cell,3,Image 1,1,95,
106.909,,Cell,3,Image 1,1,96,
