
Vesicles Foci Intensity Center Ch=4 Img=1
 ==================== 
Vesicles Foci Intensity Center,Unit,Category,Channel,Image,Time,CellID,ID,
0.090,,Vesicles Foci,4,Image 1,1,14,200242184,
0.032,,Vesicles Foci,4,Image 1,1,16,200242185,
0.127,,Vesicles Foci,4,Image 1,1,16,200242186,
0.090,,Vesicles Foci,4,Image 1,1,18,200242187,
0.023,,Vesicles Foci,4,Image 1,1,18,200242188,
0.116,,Vesicles Foci,4,Image 1,1,28,200242189,
0.058,,Vesicles Foci,4,Image 1,1,29,200242190,
0.062,,Vesicles Foci,4,Image 1,1,34,200242191,
0.023,,Vesicles Foci,4,Image 1,1,36,200242192,
0.042,,Vesicles Foci,4,Image 1,1,38,200242193,
0.032,,Vesicles Foci,4,Image 1,1,38,200242194,
0.103,,Vesicles Foci,4,Image 1,1,40,200242195,
0.085,,Vesicles Foci,4,Image 1,1,42,200242196,
0.042,,Vesicles Foci,4,Image 1,1,43,200242197,
0.084,,Vesicles Foci,4,Image 1,1,46,200242198,
0.053,,Vesicles Foci,4,Image 1,1,46,200242199,
0.053,,Vesicles Foci,4,Image 1,1,49,200242200,
0.120,,Vesicles Foci,4,Image 1,1,52,200242201,
0.094,,Vesicles Foci,4,Image 1,1,52,200242202,
0.085,,Vesicles Foci,4,Image 1,1,54,200242203,
0.036,,Vesicles Foci,4,Image 1,1,56,200242204,
0.092,,Vesicles Foci,4,Image 1,1,58,200242205,
0.016,,Vesicles Foci,4,Image 1,1,60,200242206,
0.042,,Vesicles Foci,4,Image 1,1,62,200242207,
0.080,,Vesicles Foci,4,Image 1,1,63,200242208,
0.016,,Vesicles Foci,4,Image 1,1,75,200242209,
0.107,,Vesicles Foci,4,Image 1,1,75,200242210,
0.016,,Vesicles Foci,4,Image 1,1,79,200242211,
0.084,,Vesicles Foci,4,Image 1,1,80,200242212,
0.124,,Vesicles Foci,4,Image 1,1,81,200242213,
0.114,,Vesicles Foci,4,Image 1,1,83,200242214,
0.053,,Vesicles Foci,4,Image 1,1,83,200242215,
0.055,,Vesicles Foci,4,Image 1,1,84,200242216,
0.092,,Vesicles Foci,4,Image 1,1,86,200242217,
0.053,,Vesicles Foci,4,Image 1,1,87,200242218,
0.079,,Vesicles Foci,4,Image 1,1,88,200242219,
0.072,,Vesicles Foci,4,Image 1,1,99,200242220,
0.058,,Vesicles Foci,4,Image 1,1,99,200242221,
0.016,,Vesicles Foci,4,Image 1,1,105,200242222,
0.077,,Vesicles Foci,4,Image 1,1,106,200242223,
0.058,,Vesicles Foci,4,Image 1,1,109,200242224,
0.048,,Vesicles Foci,4,Image 1,1,112,200242225,
0.084,,Vesicles Foci,4,Image 1,1,115,200242226,
0.023,,Vesicles Foci,4,Image 1,1,119,200242227,
0.173,,Vesicles Foci,4,Image 1,1,120,200242228,
0.036,,Vesicles Foci,4,Image 1,1,121,200242229,
0.094,,Vesicles Foci,4,Image 1,1,121,200242230,
0.032,,Vesicles Foci,4,Image 1,1,123,200242231,
0.142,,Vesicles Foci,4,Image 1,1,124,200242232,
0.130,,Vesicles Foci,4,Image 1,1,124,200242233,
0.120,,Vesicles Foci,4,Image 1,1,125,200242234,
0.103,,Vesicles Foci,4,Image 1,1,125,200242235,
0.032,,Vesicles Foci,4,Image 1,1,127,200242236,
0.084,,Vesicles Foci,4,Image 1,1,128,200242237,
0.106,,Vesicles Foci,4,Image 1,1,135,200242238,
0.023,,Vesicles Foci,4,Image 1,1,140,200242239,
0.081,,Vesicles Foci,4,Image 1,1,141,200242240,
0.108,,Vesicles Foci,4,Image 1,1,143,200242241,
0.121,,Vesicles Foci,4,Image 1,1,143,200242242,
0.084,,Vesicles Foci,4,Image 1,1,146,200242243,
0.023,,Vesicles Foci,4,Image 1,1,148,200242244,
0.117,,Vesicles Foci,4,Image 1,1,153,200242245,
0.045,,Vesicles Foci,4,Image 1,1,154,200242246,
0.066,,Vesicles Foci,4,Image 1,1,155,200242247,
0.016,,Vesicles Foci,4,Image 1,1,164,200242248,
0.042,,Vesicles Foci,4,Image 1,1,170,200242249,
0.091,,Vesicles Foci,4,Image 1,1,171,200242250,
0.023,,Vesicles Foci,4,Image 1,1,173,200242251,
0.123,,Vesicles Foci,4,Image 1,1,180,200242252,
0.036,,Vesicles Foci,4,Image 1,1,183,200242253,
0.051,,Vesicles Foci,4,Image 1,1,188,200242254,
0.091,,Vesicles Foci,4,Image 1,1,190,200242255,
0.023,,Vesicles Foci,4,Image 1,1,193,200242256,
0.053,,Vesicles Foci,4,Image 1,1,199,200242257,
0.066,,Vesicles Foci,4,Image 1,1,199,200242258,
0.016,,Vesicles Foci,4,Image 1,1,206,200242259,
0.097,,Vesicles Foci,4,Image 1,1,207,200242260,
0.126,,Vesicles Foci,4,Image 1,1,210,200242261,
0.077,,Vesicles Foci,4,Image 1,1,213,200242262,
0.042,,Vesicles Foci,4,Image 1,1,217,200242263,
0.016,,Vesicles Foci,4,Image 1,1,218,200242264,
0.042,,Vesicles Foci,4,Image 1,1,219,200242265,
0.080,,Vesicles Foci,4,Image 1,1,219,200242266,
0.100,,Vesicles Foci,4,Image 1,1,221,200242267,
0.016,,Vesicles Foci,4,Image 1,1,224,200242268,
0.133,,Vesicles Foci,4,Image 1,1,225,200242269,
0.023,,Vesicles Foci,4,Image 1,1,226,200242270,
0.032,,Vesicles Foci,4,Image 1,1,227,200242271,
0.133,,Vesicles Foci,4,Image 1,1,227,200242272,
0.062,,Vesicles Foci,4,Image 1,1,230,200242273,
0.032,,Vesicles Foci,4,Image 1,1,236,200242274,
0.102,,Vesicles Foci,4,Image 1,1,236,200242275,
0.042,,Vesicles Foci,4,Image 1,1,237,200242276,
0.077,,Vesicles Foci,4,Image 1,1,239,200242277,
0.141,,Vesicles Foci,4,Image 1,1,239,200242278,
0.042,,Vesicles Foci,4,Image 1,1,240,200242279,
0.016,,Vesicles Foci,4,Image 1,1,248,200242280,
0.023,,Vesicles Foci,4,Image 1,1,249,200242281,
0.042,,Vesicles Foci,4,Image 1,1,250,200242282,
0.127,,Vesicles Foci,4,Image 1,1,251,200242283,
0.042,,Vesicles Foci,4,Image 1,1,251,200242284,
0.167,,Vesicles Foci,4,Image 1,1,255,200242285,
0.045,,Vesicles Foci,4,Image 1,1,256,200242286,
0.032,,Vesicles Foci,4,Image 1,1,266,200242287,
0.077,,Vesicles Foci,4,Image 1,1,266,200242288,
0.084,,Vesicles Foci,4,Image 1,1,268,200242289,
0.058,,Vesicles Foci,4,Image 1,1,270,200242290,
0.055,,Vesicles Foci,4,Image 1,1,270,200242291,
